ID,Gender of respondent,How old are you?,Have you ever been told by doctor that you,Employment status,Are you Hispanic or Latino,What is the highest grade or level of school you have completed,Which one of the following best describes,Which one,"Which one or more of the following would you say is your race - Black or African American,",Which one,Which one or more of the following would you say is your race - Native Hawaiian or Other Pacific Islander,Which one or more of the following would you say is your race - American Indian or Alaska Native,Which one or more of the following would you say is your race - Some other race? (SPECIFY),Which one,Which one,Which one of the following best describes
28,Male,47,No,"Employed for wages,",No,"Some College, No Degree",.,Yes,No,No,No,No,No,No,No,.
29,Male,28,No,"Employed for wages,",No,"Master's Degree (Example: MA, MS, MENG, MED, MBA)",.,No,No,Yes,No,No,No,No,No,"Asian Indian,"
30,Female,45,No,"Employed for wages,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,Yes,No,No,No,No,No,No,No,.
31,Female,27,No,"Employed for wages,",No,NO CODED RESPONSE APPLICABLE (SPECIFY),.,Yes,No,No,No,No,No,No,No,.
32,Female,46,No,"Employed for wages,",No,8th Grade,.,Yes,No,No,No,No,No,No,No,.
33,Female,21,Yes,"Primarily a student,",No,"Some College, No Degree",.,Yes,No,No,No,No,No,No,No,.
34,Female,31,Yes,"Employed for wages,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,No,No,Yes,No,No,No,No,No,"Asian Indian,"
35,Male,28,No,"Employed for wages,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,Yes,No,No,No,No,No,No,No,.
36,Male,25,No,"Employed for wages,",No,High School Graduate,.,Yes,No,No,No,No,No,No,No,.
37,Male,19,No,"Primarily a student,",No,High School Graduate,.,No,No,No,No,No,Yes,No,No,.
38,Female,60,No,"Out of work for less than 1 year,",No,High School Graduate,.,Yes,No,No,No,No,No,No,No,.
39,Female,91,Yes,"Primarily retired, or",No,8th Grade,.,Yes,No,No,No,No,No,No,No,.
40,Male,46,Yes,"Out of work for more than 1 year,",No,High School Graduate,.,Yes,No,No,No,No,No,No,No,.
41,Male,22,No,"Out of work for less than 1 year,",No,High School Graduate,.,Yes,No,No,No,No,No,No,No,.
42,Female,40,No,"Primarily a homemaker,",No,"Master's Degree (Example: MA, MS, MENG, MED, MBA)",.,Yes,No,No,No,No,No,No,No,.
43,Female,83,Yes,"Primarily retired, or",No,High School Graduate,.,Yes,No,No,No,No,No,No,No,.
44,Male,39,No,"Employed for wages,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,Yes,No,No,No,No,No,No,No,.
45,Female,42,No,"Self-employed,",No,"Professional School Degree (Example: MD, DDS, DVM, JD)",.,Yes,Yes,No,No,No,No,No,No,.
46,Male,23,No,"Employed for wages,",No,"Some College, No Degree",.,Yes,No,No,No,No,No,No,No,.
47,Female,58,No,"Self-employed,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,Yes,No,No,No,No,No,No,No,.
48,Male,27,No,"Self-employed,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,Yes,No,No,No,No,No,No,No,.
49,Male,23,No,"Primarily a student,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,Yes,No,No,No,No,No,No,No,.
50,Female,39,No,"Self-employed,",NO CODED RESPONSE APPLICABLE (SPECIFY),"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,No,No,Yes,No,No,No,No,No,"Korean, or"
51,Male,29,Yes,"Employed for wages,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,Yes,No,No,No,No,No,No,No,.
52,Female,33,No,"Employed for wages,",No,"Master's Degree (Example: MA, MS, MENG, MED, MBA)",.,Yes,No,No,No,No,No,No,No,.
53,Female,25,No,"Employed for wages,",No,"Master's Degree (Example: MA, MS, MENG, MED, MBA)",.,Yes,No,No,No,No,No,No,No,.
54,Male,47,No,"Employed for wages,",No,"Doctoral Degree (Example: PHD, EDD)",.,Yes,No,No,No,No,No,No,No,.
55,Male,31,No,"Employed for wages,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,Yes,No,No,No,No,No,No,No,.
56,Male,55,No,"Employed for wages,",No,"Some College, No Degree",.,Yes,No,No,No,No,No,No,No,.
57,Male,61,No,"Out of work for more than 1 year,",No,"Associate Degree: Occupational, Technical, Or Vocational Pro",.,Yes,No,No,No,No,No,No,No,.
58,Female,51,No,"Out of work for less than 1 year,",No,High School Graduate,.,Yes,No,No,No,No,No,No,No,.
59,Male,61,Yes,"Employed for wages,",No,High School Graduate,.,Yes,No,No,No,No,No,No,No,.
60,Female,41,No,"Employed for wages,",Yes,"Some College, No Degree","Mexican or Mexican/American,",Yes,No,No,No,No,No,No,No,.
61,Male,51,No,"Employed for wages,",No,"Some College, No Degree",.,No,Yes,No,No,No,No,No,No,.
62,Male,26,No,"Self-employed,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,Yes,No,No,No,No,No,No,No,.
63,Male,47,Yes,"Out of work for more than 1 year,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,Yes,No,No,No,No,No,No,No,.
64,Male,48,Yes,"Employed for wages,",No,High School Graduate,.,Yes,No,No,No,No,No,No,No,.
65,Male,76,Yes,"Primarily retired, or",No,9th Grade,.,Yes,No,No,No,No,No,No,No,.
66,Male,43,Yes,"Employed for wages,",Yes,GED or Equivalent,"Mexican or Mexican/American,",No,No,No,No,Yes,No,No,No,.
67,Male,49,No,"Employed for wages,",No,"Some College, No Degree",.,No,Yes,No,No,No,No,No,No,.
68,Female,57,No,"Employed for wages,",No,"Some College, No Degree",.,Yes,No,No,No,No,No,No,No,.
69,Female,40,No,"Primarily a homemaker,",No,GED or Equivalent,.,Yes,No,No,No,No,No,No,No,.
70,Female,39,No,"Self-employed,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,No,No,Yes,No,No,No,No,No,"Asian Indian,"
71,Male,25,No,"Employed for wages,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,Yes,No,No,No,No,No,No,No,.
72,Male,45,Yes,"Employed for wages,",No,"Master's Degree (Example: MA, MS, MENG, MED, MBA)",.,Yes,No,No,No,No,No,No,No,.
73,Female,30,No,"Employed for wages,",No,2nd Grade,.,Yes,No,No,No,No,No,No,No,.
74,Female,21,No,"Employed for wages,",No,Associate Degree: Academic Program,.,Yes,No,No,No,No,No,No,No,.
75,Female,49,No,"Employed for wages,",No,"Some College, No Degree",.,Yes,No,No,No,No,No,No,No,.
76,Male,25,Yes,"Employed for wages,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,No,No,Yes,No,No,No,No,No,"Korean, or"
77,Male,26,No,"Self-employed,",No,"12th Grade, No Diploma",.,Yes,No,No,No,No,No,No,No,.
78,Female,24,No,"Primarily a student,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,No,No,Yes,No,No,No,No,No,"Asian Indian,"
79,Female,19,No,NO CODED RESPONSE APPLICABLE (LEAVE NOTE FIRST),No,High School Graduate,.,No,No,Yes,No,No,No,No,No,"Korean, or"
80,Male,25,No,"Employed for wages,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,No,No,Yes,No,No,No,No,No,"Asian Indian,"
81,Male,32,No,"Employed for wages,",No,Associate Degree: Academic Program,.,Yes,No,No,No,No,No,No,No,.
82,Male,47,No,"Self-employed,",No,"Master's Degree (Example: MA, MS, MENG, MED, MBA)",.,Yes,No,No,No,No,No,No,No,.
83,Female,55,No,"Self-employed,",No,"Some College, No Degree",.,Yes,No,No,No,No,No,No,No,.
84,Male,60,Yes,"Employed for wages,",No,"Some College, No Degree",.,Yes,No,No,No,No,No,No,No,.
85,Male,38,No,"Employed for wages,",Yes,"Some College, No Degree","Puerto Rican,",Yes,No,No,No,No,No,No,No,.
86,Female,54,No,"Employed for wages,",Yes,"Bachelor's Degree (Example: BA, AB, BS, BBA)","Puerto Rican,",Yes,No,No,No,No,No,No,No,.
87,Male,23,No,"Primarily a student,",No,High School Graduate,.,Yes,No,No,No,No,No,No,No,.
88,Male,26,No,"Primarily a student,",Yes,"Bachelor's Degree (Example: BA, AB, BS, BBA)",Some other nationality? (SPECIFY),No,No,No,No,No,Yes,No,No,.
89,Female,20,No,"Primarily a student,",No,"Some College, No Degree",.,Yes,No,No,No,No,No,No,No,.
90,Male,74,No,"Primarily retired, or",No,NO CODED RESPONSE APPLICABLE (SPECIFY),.,Yes,No,No,No,No,No,No,No,.
91,Female,37,No,"Primarily a homemaker,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,Yes,No,No,No,No,No,No,No,.
92,Female,76,Yes,"Primarily retired, or",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,No,No,Yes,No,No,No,No,No,"Korean, or"
93,Female,33,Yes,"Employed for wages,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,No,Yes,No,No,No,No,No,No,.
94,Female,23,No,"Employed for wages,",No,"12th Grade, No Diploma",.,No,Yes,No,No,No,No,No,No,.
95,Male,21,No,"Out of work for more than 1 year,",No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
96,Female,56,Yes,"Out of work for more than 1 year,",No,"12th Grade, No Diploma",.,No,Yes,No,No,No,No,No,No,.
97,Male,87,Yes,"Primarily retired, or",No,"Doctoral Degree (Example: PHD, EDD)",.,No,Yes,No,No,No,No,No,No,.
98,Male,29,No,"Employed for wages,",No,"12th Grade, No Diploma",.,No,Yes,No,No,No,No,No,No,.
99,Female,75,Yes,"Primarily a homemaker,",No,"12th Grade, No Diploma",.,No,Yes,No,No,No,No,No,No,.
100,Female,Age,No,"Out of work for more than 1 year,",No,GED or Equivalent,.,No,Yes,No,No,No,No,No,No,.
101,Female,19,No,"Out of work for less than 1 year,",No,GED or Equivalent,.,No,Yes,No,No,No,No,No,No,.
102,Male,21,Yes,"Employed for wages,",No,11th Grade,.,No,Yes,No,No,No,No,No,No,.
103,Female,50,Yes,Unable to work?,No,11th Grade,.,No,Yes,No,No,No,No,No,No,.
104,Female,53,Yes,"Employed for wages,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,No,Yes,No,No,No,No,No,No,.
105,Female,38,Yes,"Employed for wages,",No,"Some College, No Degree",.,No,Yes,No,No,No,No,No,No,.
106,Female,50,No,"Employed for wages,",No,"Master's Degree (Example: MA, MS, MENG, MED, MBA)",.,No,Yes,No,No,No,No,No,No,.
107,Female,50,Yes,"Primarily a homemaker,",No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
108,Female,20,No,Unable to work?,No,"12th Grade, No Diploma",.,No,Yes,No,No,No,No,No,No,.
109,Male,64,Yes,Unable to work?,No,3rd Grade,.,No,Yes,No,No,No,No,No,No,.
110,Male,21,No,"Employed for wages,",No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
111,Female,19,No,Unable to work?,No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
112,Male,41,No,"Primarily retired, or",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,No,Yes,No,No,No,No,No,No,.
113,Female,33,Yes,"Employed for wages,",No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
114,Female,62,Yes,Unable to work?,No,"Associate Degree: Occupational, Technical, Or Vocational Pro",.,No,Yes,No,No,No,No,No,No,.
115,Female,42,No,"Employed for wages,",No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
116,Female,55,No,"Employed for wages,",No,"Doctoral Degree (Example: PHD, EDD)",.,No,Yes,No,No,No,No,No,No,.
117,Male,78,No,"Self-employed,",No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
118,Female,46,NO CODED RESPONSE APPLICABLE (SPECIFY),"Employed for wages,",No,"Master's Degree (Example: MA, MS, MENG, MED, MBA)",.,No,Yes,No,No,No,No,No,No,.
119,Male,41,No,"Out of work for more than 1 year,",No,"Some College, No Degree",.,No,Yes,No,No,No,No,No,No,.
120,Female,53,No,Unable to work?,No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
121,Female,37,No,"Primarily a homemaker,",Yes,High School Graduate,"Puerto Rican,",No,No,No,No,No,No,No,Yes,.
122,Male,26,No,"Self-employed,",No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
123,Female,26,No,"Primarily a homemaker,",No,"Some College, No Degree",.,No,Yes,No,No,No,No,No,No,.
124,Female,51,No,"Employed for wages,",No,Associate Degree: Academic Program,.,No,Yes,No,No,No,No,No,No,.
125,Female,50,No,Unable to work?,No,10th Grade,.,No,Yes,No,No,No,No,No,No,.
126,Male,Age,No,"Primarily a student,",No,11th Grade,.,No,Yes,No,No,No,No,No,No,.
127,Female,46,Yes,"Out of work for more than 1 year,",No,10th Grade,.,No,Yes,No,No,No,No,No,No,.
128,Male,37,Yes,Unable to work?,No,10th Grade,.,No,Yes,No,No,No,No,No,No,.
129,Male,59,Yes,"Employed for wages,",No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
130,Male,75,Yes,"Primarily retired, or",No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
131,Female,38,Yes,"Out of work for less than 1 year,",No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
132,Female,43,No,"Employed for wages,",No,"Some College, No Degree",.,No,Yes,No,No,No,No,No,No,.
133,Male,59,No,"Out of work for more than 1 year,",No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
134,Male,56,No,"Employed for wages,",No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
135,Female,46,Yes,"Employed for wages,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,No,Yes,No,No,No,No,No,No,.
136,Male,60,Yes,"Employed for wages,",No,"Some College, No Degree",.,No,Yes,No,No,No,No,No,No,.
137,Female,65,Yes,"Employed for wages,",No,"Some College, No Degree",.,No,Yes,No,No,No,No,No,No,.
138,Male,44,No,"Employed for wages,",No,"Associate Degree: Occupational, Technical, Or Vocational Pro",.,No,Yes,No,No,No,No,No,No,.
139,Female,43,Yes,"Out of work for more than 1 year,",No,10th Grade,.,No,Yes,No,No,No,No,No,No,.
140,Female,68,Yes,"Employed for wages,",No,"Master's Degree (Example: MA, MS, MENG, MED, MBA)",.,No,Yes,No,No,No,No,No,No,.
141,Female,50,No,"Employed for wages,",No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
142,Male,Age,No,"Primarily a student,",No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
143,Male,32,No,"Employed for wages,",No,Associate Degree: Academic Program,.,No,Yes,No,No,No,No,No,No,.
144,Male,25,No,"Primarily a student,",No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
145,Female,23,No,"Primarily a student,",No,"Some College, No Degree",.,No,Yes,No,No,No,No,No,No,.
146,Female,20,No,"Out of work for more than 1 year,",No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
147,Male,52,No,"Self-employed,",No,"Some College, No Degree",.,No,Yes,No,No,No,No,No,No,.
148,Female,62,Yes,Unable to work?,No,"Some College, No Degree",.,No,Yes,No,No,No,No,No,No,.
149,Male,23,No,"Out of work for more than 1 year,",No,"12th Grade, No Diploma",.,No,Yes,No,No,No,No,No,No,.
150,Female,32,No,"Employed for wages,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,No,Yes,No,No,No,No,No,No,.
151,Female,63,Yes,"Primarily retired, or",No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
152,Female,29,No,"Employed for wages,",No,"Master's Degree (Example: MA, MS, MENG, MED, MBA)",.,Yes,No,No,No,No,No,No,No,.
153,Female,32,Yes,"Employed for wages,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,No,Yes,No,No,No,No,No,No,.
154,Female,52,No,"Employed for wages,",No,"Some College, No Degree",.,No,Yes,No,No,No,No,No,No,.
155,Male,29,No,"Self-employed,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,No,Yes,No,No,No,No,No,No,.
156,Male,19,No,"Employed for wages,",No,"12th Grade, No Diploma",.,No,Yes,No,No,No,No,No,No,.
157,Male,31,No,"Employed for wages,",No,"Master's Degree (Example: MA, MS, MENG, MED, MBA)",.,No,Yes,No,No,No,No,No,No,.
158,Female,25,Yes,"Primarily a student,",No,"Some College, No Degree",.,No,Yes,No,No,No,No,No,No,.
159,Female,28,No,"Employed for wages,",No,"Some College, No Degree",.,No,Yes,No,No,No,No,No,No,.
160,Female,28,No,"Employed for wages,",No,"Master's Degree (Example: MA, MS, MENG, MED, MBA)",.,No,Yes,No,No,No,No,No,No,.
161,Female,54,Yes,"Employed for wages,",No,"Master's Degree (Example: MA, MS, MENG, MED, MBA)",.,No,Yes,No,No,No,No,No,No,.
162,Male,33,No,"Self-employed,",No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
163,Female,33,Yes,"Out of work for more than 1 year,",No,11th Grade,.,No,Yes,No,No,No,No,No,No,.
164,Female,30,No,"Primarily a homemaker,",No,GED or Equivalent,.,No,Yes,No,No,No,No,No,No,.
165,Female,47,Yes,"Primarily a homemaker,",No,7th Grade,.,No,Yes,No,No,No,No,No,No,.
166,Female,23,No,"Employed for wages,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,No,Yes,No,No,No,No,No,No,.
167,Female,38,No,"Out of work for more than 1 year,",No,10th Grade,.,No,Yes,No,No,No,No,No,No,.
168,Female,22,Yes,"Primarily a student,",No,10th Grade,.,No,Yes,No,No,No,No,No,No,.
169,Male,20,No,"Out of work for less than 1 year,",No,"Some College, No Degree",.,No,Yes,No,No,No,No,No,No,.
170,Female,68,Yes,"Primarily retired, or",No,10th Grade,.,No,Yes,No,No,No,No,No,No,.
171,Male,35,Yes,"Employed for wages,",No,"Some College, No Degree",.,No,Yes,No,No,No,No,No,No,.
172,Male,58,No,"Out of work for less than 1 year,",No,Associate Degree: Academic Program,.,No,Yes,No,No,No,No,No,No,.
173,Female,63,No,"Out of work for more than 1 year,",No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
174,Male,84,Yes,"Primarily retired, or",No,8th Grade,.,No,Yes,No,No,No,No,No,No,.
175,Female,50,Yes,"Employed for wages,",No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
176,Male,19,No,"Employed for wages,",No,"Some College, No Degree",.,No,Yes,No,No,No,No,No,No,.
177,Male,69,Yes,"Primarily retired, or",No,DON'T KNOW,.,No,Yes,No,No,No,No,No,No,.
178,Female,49,Yes,"Employed for wages,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,No,Yes,No,No,No,No,No,No,.
179,Female,35,Yes,"Employed for wages,",No,Associate Degree: Academic Program,.,No,Yes,No,No,No,No,No,No,.
180,Male,31,No,"Employed for wages,",No,"Associate Degree: Occupational, Technical, Or Vocational Pro",.,No,Yes,No,No,No,No,No,No,.
181,Female,21,No,"Primarily a student,",No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
182,Female,38,Yes,"Employed for wages,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,No,Yes,No,No,No,No,No,No,.
183,Female,39,Yes,"Out of work for more than 1 year,",No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
184,Female,47,Yes,"Employed for wages,",No,"Associate Degree: Occupational, Technical, Or Vocational Pro",.,No,Yes,No,No,No,No,No,No,.
185,Female,58,Yes,Unable to work?,No,10th Grade,.,No,Yes,No,No,No,No,No,No,.
186,Female,61,No,"Out of work for more than 1 year,",No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
187,Female,40,Yes,"Employed for wages,",No,"Some College, No Degree",.,No,Yes,No,No,No,No,No,No,.
188,Male,51,Yes,"Out of work for more than 1 year,",No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
189,Male,53,No,"Out of work for more than 1 year,",No,11th Grade,.,No,Yes,No,No,No,No,No,No,.
190,Male,40,Yes,"Out of work for less than 1 year,",No,GED or Equivalent,.,No,Yes,No,No,No,No,No,No,.
191,Male,49,No,"Out of work for more than 1 year,",No,11th Grade,.,No,Yes,No,No,No,No,No,No,.
192,Female,62,No,"Employed for wages,",No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
193,Male,28,No,"Primarily a homemaker,",No,"Some College, No Degree",.,No,Yes,No,No,No,No,No,No,.
194,Male,28,No,"Out of work for less than 1 year,",No,GED or Equivalent,.,No,Yes,No,No,No,No,No,No,.
195,Female,46,Yes,"Employed for wages,",No,11th Grade,.,No,Yes,No,No,No,No,No,No,.
196,Female,48,Yes,"Employed for wages,",No,"Some College, No Degree",.,No,Yes,No,No,No,No,No,No,.
197,Male,74,No,"Employed for wages,",No,8th Grade,.,No,Yes,No,No,No,No,No,No,.
198,Female,33,No,"Primarily a student,",No,"Some College, No Degree",.,No,Yes,No,No,No,No,No,No,.
199,Female,53,No,"Out of work for more than 1 year,",No,11th Grade,.,No,Yes,No,No,No,No,No,No,.
200,Male,35,No,"Out of work for less than 1 year,",No,NO CODED RESPONSE APPLICABLE (SPECIFY),.,Yes,Yes,No,No,Yes,No,No,No,.
201,Female,26,Yes,"Employed for wages,",No,"Some College, No Degree",.,No,Yes,No,No,No,No,No,No,.
202,Female,36,No,"Employed for wages,",No,"Some College, No Degree",.,No,Yes,No,No,Yes,No,No,No,.
203,Female,57,Yes,"Employed for wages,",No,"Some College, No Degree",.,No,Yes,No,No,No,No,No,No,.
204,Male,60,Yes,"Out of work for more than 1 year,",No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
205,Male,53,Yes,Unable to work?,No,10th Grade,.,No,Yes,No,No,No,No,No,No,.
206,Female,29,Yes,"Self-employed,",No,"Some College, No Degree",.,No,Yes,No,No,No,No,No,No,.
207,Female,66,Yes,Unable to work?,No,9th Grade,.,No,Yes,No,No,No,No,No,No,.
208,Female,41,Yes,"Out of work for less than 1 year,",No,"Some College, No Degree",.,No,Yes,No,No,No,No,No,No,.
209,Male,36,No,"Employed for wages,",No,"Associate Degree: Occupational, Technical, Or Vocational Pro",.,No,Yes,No,No,No,No,No,No,.
210,Male,58,Yes,"Primarily retired, or",No,11th Grade,.,No,Yes,No,No,No,No,No,No,.
211,Female,54,No,"Employed for wages,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,Yes,No,No,No,No,No,No,No,.
212,Male,25,No,"Employed for wages,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,Yes,No,No,No,No,No,No,No,.
213,Male,62,No,"Primarily retired, or",No,"Some College, No Degree",.,No,Yes,No,No,No,No,No,No,.
214,Male,45,No,"Employed for wages,",No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
215,Female,34,No,"Employed for wages,",No,11th Grade,.,No,Yes,No,No,No,No,No,No,.
216,Female,Age,No,"Out of work for less than 1 year,",No,11th Grade,.,No,Yes,No,No,No,No,No,No,.
217,Male,35,No,"Employed for wages,",No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
218,Female,54,Yes,Unable to work?,No,High School Graduate,.,No,Yes,No,No,No,No,No,No,.
219,Male,19,No,"Primarily a student,",No,11th Grade,.,No,Yes,No,No,No,No,No,No,.
220,Male,28,Yes,"Employed for wages,",No,"Bachelor's Degree (Example: BA, AB, BS, BBA)",.,No,Yes,No,No,No,No,No,No,.
221,Female,30,No,"Employed for wages,",Yes,"Some College, No Degree","Puerto Rican,",Yes,No,No,No,No,No,No,No,.
